Key,Result
125269879,67108864
62634939,67108864
62634935,67108864
62634871,67108864
62633847,67108864
62617463,67108864
62355319,67108864
31317467,67108864
31317431,67108864
31316855,67108864
31307639,67108864
31160183,67108864
15658715,67108864
15658423,67108864
15653751,67108864
15578999,67108864
7829211,67108864
7826871,67108864
7789431,67108864
3913435,13369760 67108864 
3894711,17843232 67108864 
1947355,17843232 17826016 13369760 67108864 
3894719,13369376 67108864 
3894779,13369440 67108864 
3895259,13369504 8913248 67108864 
3899099,13386784 13369568 67108864 
3929819,13369632 67108864 
4175579,13369696 67108864 
7826879,67108864
7789559,67108864
7790527,67108864
7798207,8912928 67108864 
7859647,4243730 67108864 
8351167,67108864
7826939,67108864
7790519,67108864
7798267,8912992 4456736 67108864 
7859707,67108864
8351227,8717330 67108864 
7827419,8913248 67108864 
7798199,13386784 67108864 
7860187,8930336 8913120 67108864 
8351707,8913184 67108864 
7831259,67108864
7859639,67108864
8355547,67108864
7861979,67108864
8351159,67108864
3894715,67108864
3897051,67108864
7789439,67108864
8353499,67108864
15658431,67108864
15653879,67108864
15581047,67108864
15654847,67108864
15596535,67108864
15720383,4456480 540875 224 67108864 
16703423,4243538 67108864 
15662527,67108864
15719415,67108864
16711103,4243602 67108864 
15723967,4243730 67108864 
16702455,8717330 67108864 
7790523,67108864
7794111,67108864
15581055,67108864
16707007,67108864
15658491,67108864
15654839,67108864
15596407,67108864
15662587,4456736 67108864 
15720375,8930336 67108864 
16711163,5014539 4473888 4456672 67108864 
15724027,67108864
16703415,67108864
7798203,67108864
7794171,67108864
15596415,67108864
16707067,67108864
15658971,67108864
15662519,67108864
15719287,67108864
15724507,67108864
16711095,67108864
7859643,67108864
7794651,67108864
15719295,67108864
16707547,67108864
15662811,67108864
15723959,67108864
16702327,67108864
8351163,67108864
7798491,67108864
16702335,67108864
16711387,67108864
7826875,67108864
7789499,67108864
7827163,67108864
7794395,67108864
7789495,67108864
7794103,67108864
3894747,17826016 13369760 67108864 
3895003,17843232 17826016 67108864 
7789503,67108864
7859931,67108864
7789563,67108864
8351451,67108864
15653759,67108864
15579007,67108864
15724251,67108864
16707291,67108864
15579127,67108864
16706999,67108864
31317439,67108864
31316983,67108864
31309687,67108864
31192951,67108864
31317951,67108864
31325175,67108864
31440759,67108864
31449023,540875 224 67108864 
33422327,5014539 4473888 67108864 
15720379,67108864
15589311,67108864
31440767,67108864
33415103,67108864
31325631,67108864
31448055,67108864
33406839,67108864
16703419,67108864
15596991,67108864
33406847,67108864
33422783,67108864
15654843,67108864
15596475,67108864
15654335,67108864
15588799,67108864
15596471,67108864
15588343,67108864
7798235,13369568 67108864 
7790015,13369376 67108864 
15596479,67108864
15719871,67108864
15596539,67108864
16702911,67108864
31309695,67108864
31192959,67108864
31448511,67108864
33414591,67108864
31193079,67108864
33414135,67108864
31317499,67108864
31317943,67108864
31325047,67108864
31438711,67108864
31325691,67108864
31449015,67108864
33422199,67108864
16711099,67108864
15597051,67108864
33422207,67108864
33422843,67108864
15662523,67108864
15719355,67108864
15654395,67108864
15588859,67108864
15719351,67108864
15589303,67108864
7859675,13369632 67108864 
7790075,13369440 67108864 
15719359,67108864
15719931,67108864
15719419,67108864
16702971,67108864
31325055,67108864
31438719,67108864
31448571,67108864
33414651,67108864
31438839,67108864
33415095,67108864
31317979,67108864
31325623,67108864
31447927,67108864
33404791,67108864
15723963,67108864
16702395,67108864
15654875,67108864
15589339,67108864
16702391,67108864
15596983,67108864
8351195,13369696 67108864 
7790555,13369504 67108864 
16702399,67108864
15720411,67108864
16702459,67108864
16703451,67108864
31447935,67108864
33404799,67108864
31449051,67108864
33415131,67108864
33404919,67108864
33422775,67108864
15658427,67108864
15653819,67108864
15580091,67108864
15658459,67108864
15654363,67108864
15588827,67108864
15653815,67108864
15580087,67108864
15654327,67108864
15588791,67108864
15580023,67108864
15588215,67108864
7826907,13369760 67108864 
7790043,17826016 67108864 
7790007,17843232 67108864 
15653823,67108864
15580095,67108864
15662555,67108864
15719899,67108864
15580151,67108864
15719863,67108864
15581119,67108864
16711131,67108864
15653883,67108864
15580155,67108864
